Title,Composer,CatNo,Date,Range,Inst1,Inst2,Inst3,Genre,Subgenre,Species ,Species2,Nationality,Key,Modulation,Folder,Filename,Comments
Duet in C 1 Adagio,Albrechtsberger,No1,,1780-1795,Violin,Cello,,Duet,,,,Austria,C major,,A,Duet in C 1 Adagio No1 C major,
Duet in C 2 Fugue Allegro Moderato,Albrechtsberger,No1,,1780-1795,Violin,Cello,,Duet,,,,Austria,C major,,A,Duet in C 2 Fugue Allegro Moderato No1 C major,
Duet in D 1 Adagio,Albrechtsberger,No6,,1780-1795,Violin,Cello,,Duet,,,,Austria,D major,,A,Duet in D 1 Adagio No6 D major,
Duet in D 2 Fugue Allegro,Albrechtsberger,No6,,1780-1795,Violin,Cello,,Duet,,,,Austria,D major,,A,Duet in D 2 Fugue Allegro No6 D major,
Duet in E 1 Adagio ma non troppo,Albrechtsberger,No4,,1780-1795,Violin,Cello,,Duet,,,,Austria,E minor,,A,Duet in E 1 Adagio ma non troppo No4 E minor,
Duet in E 2 Fugue,Albrechtsberger,No4,,1780-1795,Violin,Cello,,Duet,,,,Austria,E minor,,A,Duet in E 2 Fugue No4 E minor,
Duet in F 1 Andantino,Albrechtsberger,No2,,1780-1795,Violin,Cello,,Duet,,,,Austria,F major,,A,Duet in F 1 Andantino No2 F major,
Duet in F 2 Fugue Poco Allegro,Albrechtsberger,No2,,1780-1795,Violin,Cello,,Duet,,,,Austria,F major,,A,Duet in F 2 Fugue Poco Allegro No2 F major,
Duet in G 1 Adagio,Albrechtsberger,No5,,1780-1795,Violin,Cello,,Duet,,,,Austria,G major,,A,Duet in G 1 Adagio No5 G major,
Duet in G 2 Fugue Allegretto,Albrechtsberger,No5,,1780-1795,Violin,Cello,,Duet,,,,Austria,G major,,A,Duet in G 2 Fugue Allegretto No5 G major,
Graduale,Albrechtsberger,,1783,,Organ,,,OtherSolo,,,,Austria,C major,,A,Graduale C major,
Gimm Sovjetskogo Soyuza,Alexandrov,,1943,,Orchestra,,,SongSecular,,,,Russia,C major,,A,Gimm Sovjetskogo Soyuza C major,
12 Etudes dans les tons majeurs 1 Allegretto in A,Alkan,Op35,1847,,Piano,,,Etude,,,,France,A major,,A,12 Etudes dans les tons majeurs 1 Allegretto in A Op35 A major,
12 Etudes dans les tons majeurs 10 Amor-Mors Adagio in Gb,Alkan,Op35,1847,,Piano,,,Etude,,,,France,Gb major,,A,12 Etudes dans les tons majeurs 10 Amor-Mors Adagio in Gb Op35 Gb major,
12 Etudes dans les tons majeurs 11 Posement in B,Alkan,Op35,1847,,Piano,,,Etude,,,,France,B major,,A,12 Etudes dans les tons majeurs 11 Posement in B Op35 B major,
12 Etudes dans les tons majeurs 4 Presto in C,Alkan,Op35,1847,,Piano,,,Etude,,,,France,C major,,A,12 Etudes dans les tons majeurs 4 Presto in C Op35 C major,
12 Etudes dans les tons majeurs 5 Allegro barbaro in F,Alkan,Op35,1847,,Piano,,,Etude,,,,France,F major,,A,12 Etudes dans les tons majeurs 5 Allegro barbaro in F Op35 F major,
12 Etudes dans les tons majeurs 6 Allegramenta in Bb,Alkan,Op35,1847,,Piano,,,Etude,,,,France,Bb major,,A,12 Etudes dans les tons majeurs 6 Allegramenta in Bb Op35 Bb major,
12 Etudes dans les tons majeurs 7 Loincendie au Village Voisin Adagio-Allegro Moderato in Eb,Alkan,Op35,1847,,Piano,,,Etude,,,,France,Eb major,,A,12 Etudes dans les tons majeurs 7 Loincendie au Village Voisin Adagio-Allegro Moderato in Eb Op35 Eb major,
12 Etudes dans les tons majeurs 9 Contrapunctus Amplement in C#,Alkan,Op35,1847,,Piano,,,Etude,,,,France,C# major,,A,12 Etudes dans les tons majeurs 9 Contrapunctus Amplement in C# Op35 C# major,
12 Etudes dans les tons mineurs 1 Comme le Vent Prestissimamente in A-,Alkan,Op39No1,1857,,Piano,,,Etude,,,,France,A minor,,A,12 Etudes dans les tons mineurs 1 Comme le Vent Prestissimamente in A- Op39No1 A minor,
12 Etudes dans les tons mineurs 2 En Rhythm Molossique Risoluto in D-,Alkan,Op39No2,1857,,Piano,,,Etude,,,,France,D minor,,A,12 Etudes dans les tons mineurs 2 En Rhythm Molossique Risoluto in D- Op39No2 D minor,
12 Etudes dans les tons mineurs 3 Scherzo Diabolique Pretissimo in G-,Alkan,Op39No3,1857,,Piano,,,Etude,,,,France,G minor,,A,12 Etudes dans les tons mineurs 3 Scherzo Diabolique Pretissimo in G- Op39No3 G minor,
12 Etudes dans les tons mineurs Concerto Mvt3 Allegretto alla barbaresca in F#-,Alkan,Op39No10,1857,,Piano,,,Etude,,,,France,F# minor,,A,12 Etudes dans les tons mineurs Concerto Mvt3 Allegretto alla barbaresca in F#- Op39No10 F# minor,
12 Etudes dans les tons mineurs Le Festin DEsope Allegretto senza licenza quintunque in E-,Alkan,Op39No12,1857,,Piano,,,Etude,,,,France,E minor,,A,12 Etudes dans les tons mineurs Le Festin DEsope Allegretto senza licenza quintunque in E- Op39No120 E minor,
12 Etudes dans les tons mineurs Symphony Allegro Allegro Moderato in C-,Alkan,Op39No4,1857,,Piano,,,Etude,,,,France,C minor,,A,12 Etudes dans les tons mineurs Symphony Allegro Allegro Moderato in C- Op39No4 C minor,
12 Etudes dans les tons mineurs Symphony Einale Presto in Eb,Alkan,Op39No7,1857,,Piano,,,Etude,,,,France,Eb minor,,A,12 Etudes dans les tons mineurs Symphony Einale Presto in Eb Op39No7 Eb minor,
12 Etudes dans les tons mineurs Symphony Marche Funebre Andantino in F-,Alkan,Op39No5,1857,,Piano,,,Etude,,,,France,F minor,,A,12 Etudes dans les tons mineurs Symphony Marche Funebre Andantino in F- Op39No5 F minor,
12 Etudes dans les tons mineurs Symphony Menuet Tempo di Minuetto in Bb-,Alkan,Op39No6,1857,,Piano,,,Etude,,,,France,Bb minor,Bb major,A,12 Etudes dans les tons mineurs Symphony Menuet Tempo di Minuetto in Bb- Op39No6 Bb minor,
25 Preludes Deuxieme Suite 10 Dans le Style Fugue Tres Vite in a-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,A minor,,A,25 Preludes Deuxieme Suite 10 Dans le Style Fugue Tres Vite in a- Op31 A minor,
25 Preludes Deuxieme Suite 11 Un petit rien Assez Vite in F,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,F major,,A,25 Preludes Deuxieme Suite 11 Un petit rien Assez Vite in F Op31 F major,
25 Preludes Deuxieme Suite 12 Le Temps Qui n'est Plus andante in Bb-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,Bb minor,,A,25 Preludes Deuxieme Suite 12 Le Temps Qui n'est Plus andante in Bb- Op31 Bb minor,
"25 Preludes Deuxieme Suite 13 Jetais Endormie, Mais mon Coeur Vellait Lentement in Gb",Alkan,Op31,1844,,Piano,,,Prelude,,,,France,Gb major,,A,"25 Preludes Deuxieme Suite 13 Jetais Endormie, Mais mon Coeur Vellait Lentement in Gb Op31 Gb major",
25 Preludes Deuxieme Suite 14 Rapidement in B-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,B minor,B major,A,25 Preludes Deuxieme Suite 14 Rapidement in B- Op31 B minor,
25 Preludes Deuxieme Suite 15 Danse le Genre Gothique Assez Vite in G,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,G major,,A,25 Preludes Deuxieme Suite 15 Danse le Genre Gothique Assez Vite in G Op31 G major,
